order,max_prime,candidates,alpha_pool,beta_pool,euc_success,dh_success,dh_failures,rescue_cases,max_alpha_norm_sq
H17,13,3192,620,624,3192,3192,0,0,20
H713,11,2816,424,624,2816,2816,0,0,6
