order,prime,delta_coeffs,rho,euc_success,dh_success,rescue,best_euc_norm,best_dh_norm,alpha_coeffs,beta_coeffs,alpha_norm_sq
H713,2,"(-2, -1, -2, 2)","(-3/4,-9/28,1/2,-1/14)",1,1,0,37/392,173/196,"(-2, -2, -1, 2)","(1, 2, 1, -2)",6
H713,2,"(-2, -1, -1, 2)","(-3/4,-1/4,1/2,0)",1,1,0,39/392,179/196,"(-2, -2, -1, 2)","(1, 2, -1, -2)",6
H713,2,"(-2, -1, 0, 2)","(-3/4,-5/28,1/2,1/14)",1,1,0,37/392,169/196,"(-2, -2, -1, 2)","(1, 2, -2, -2)",6
H713,2,"(-2, -1, 1, 2)","(-3/4,-3/28,1/2,1/7)",1,1,0,39/392,143/196,"(-2, -2, -1, 2)","(1, 2, -2, -2)",6
H713,2,"(-2, -1, 2, 2)","(-3/4,-1/28,1/2,3/14)",1,1,0,37/392,141/196,"(-2, -2, -1, 2)","(1, 2, -2, -2)",6
H713,2,"(-2, 0, -2, 1)","(-3/4,-3/28,1/4,-3/28)",1,1,0,25/196,41/49,"(-2, -2, -1, 2)","(1, 1, 0, -2)",6
H713,2,"(-2, 0, -2, 2)","(-1/2,-1/14,1/2,-1/14)",1,1,0,0,26/49,"(-2, -2, -1, 2)","(0, 2, -2, -2)",6
H713,2,"(-2, 0, -1, 1)","(-3/4,-1/28,1/4,-1/28)",1,1,0,25/196,46/49,"(-2, -2, -1, 2)","(1, 1, -1, -2)",6
H713,2,"(-2, 0, -1, 2)","(-1/2,0,1/2,0)",1,1,0,1/98,25/49,"(-2, -2, -1, 2)","(0, 2, -2, -2)",6
H713,2,"(-2, 0, 0, 1)","(-3/4,1/28,1/4,1/28)",1,1,0,25/196,45/49,"(-2, -2, -1, 2)","(1, 1, -2, -1)",6
H713,2,"(-2, 0, 0, 2)","(-1/2,1/14,1/2,1/14)",1,1,0,0,30/49,"(-2, -2, -1, 2)","(0, 2, -2, -2)",6
H713,2,"(-2, 0, 1, 1)","(-3/4,3/28,1/4,3/28)",1,1,0,25/196,41/49,"(-2, -2, -1, 2)","(1, 1, -2, -1)",6
H713,2,"(-2, 0, 1, 2)","(-1/2,1/7,1/2,1/7)",1,1,0,1/98,41/49,"(-2, -2, -1, 2)","(0, 2, -2, -2)",6
H713,2,"(-2, 0, 2, 1)","(-3/4,5/28,1/4,5/28)",1,1,0,25/196,43/49,"(-2, -2, -1, 2)","(1, 1, -2, -1)",6
H713,2,"(-2, 0, 2, 2)","(-1/2,3/14,1/2,3/14)",1,1,0,0,67/98,"(-2, -2, -1, 2)","(1, 1, -2, -2)",6
H713,2,"(-2, 1, -2, 0)","(-3/4,3/28,0,-1/7)",1,1,0,37/392,171/196,"(-2, -2, -1, 2)","(1, 1, -2, -1)",6
H713,2,"(-2, 1, -2, 1)","(-1/2,1/7,1/4,-3/28)",1,1,0,39/392,165/196,"(-2, -2, -1, 2)","(0, 2, -2, -1)",6
H713,2,"(-2, 1, -2, 2)","(-1/4,5/28,1/2,-1/14)",1,1,0,37/392,125/196,"(-2, -2, -1, 2)","(0, 1, -2, -2)",6
H713,2,"(-2, 1, -1, 0)","(-3/4,5/28,0,-1/14)",1,1,0,39/392,137/196,"(-2, -2, -1, 2)","(1, 1, -2, -1)",6
H713,2,"(-2, 1, -1, 1)","(-1/2,3/14,1/4,-1/28)",1,1,0,37/392,171/196,"(-2, -2, -1, 2)","(0, 2, -2, -1)",6
H713,2,"(-2, 1, -1, 2)","(-1/4,1/4,1/2,0)",1,1,0,39/392,163/196,"(-2, -2, -1, 2)","(0, 1, -2, -2)",6
H713,2,"(-2, 1, 0, 0)","(-3/4,1/4,0,0)",1,1,0,37/392,127/196,"(-2, -2, -1, 2)","(1, 1, -2, -1)",6
H713,2,"(-2, 1, 0, 1)","(-1/2,2/7,1/4,1/28)",1,1,0,39/392,131/196,"(-2, -2, -1, 2)","(1, 0, -2, -1)",6
H713,2,"(-2, 1, 0, 2)","(-1/4,9/28,1/2,1/14)",1,1,0,37/392,85/196,"(-2, -2, -1, 2)","(1, 0, -2, -2)",6
H713,2,"(-2, 1, 1, 0)","(-3/4,9/28,0,1/14)",1,1,0,39/392,141/196,"(-2, -2, -1, 2)","(1, 1, -2, -1)",6
H713,2,"(-2, 1, 1, 1)","(-1/2,5/14,1/4,3/28)",1,1,0,37/392,157/196,"(-2, -2, -1, 2)","(1, 0, -2, -1)",6
H713,2,"(-2, 1, 1, 2)","(-1/4,11/28,1/2,1/7)",1,1,0,39/392,143/196,"(-2, -2, -1, 2)","(1, 0, -2, -2)",6
H713,2,"(-2, 1, 2, 0)","(-3/4,11/28,0,1/7)",1,1,0,37/392,179/196,"(-2, -2, -1, 2)","(1, 1, -2, -1)",6
H713,2,"(-2, 1, 2, 1)","(-1/2,3/7,1/4,5/28)",1,1,0,39/392,181/196,"(-2, -2, -1, 2)","(1, 1, -2, -2)",6
H713,2,"(-2, 1, 2, 2)","(-1/4,13/28,1/2,3/14)",1,1,0,37/392,8971/9604,"(-2, -2, 1, 2)","(1, 0, -2, -2)",5
H713,2,"(-2, 2, -2, -1)","(-3/4,9/28,-1/4,-5/28)",1,1,0,25/196,45/49,"(-2, -2, -1, 2)","(1, 1, -2, 0)",6
H713,2,"(-2, 2, -2, 0)","(-1/2,5/14,0,-1/7)",1,1,0,0,41/49,"(-2, -2, -1, 2)","(1, 0, -2, -1)",6
H713,2,"(-2, 2, -2, 1)","(-1/4,11/28,1/4,-3/28)",1,1,0,25/196,29/49,"(-2, -2, -1, 2)","(1, -1, -2, -1)",6
H713,2,"(-2, 2, -2, 2)","(0,3/7,1/2,-1/14)",1,1,0,0,43/49,"(-2, -2, -1, 2)","(1, -2, -2, -1)",6
H713,2,"(-2, 2, -1, -1)","(-3/4,11/28,-1/4,-3/28)",1,1,0,25/196,39/49,"(-2, -2, -1, 2)","(1, 1, -2, 0)",6
H713,2,"(-2, 2, -1, 0)","(-1/2,3/7,0,-1/14)",1,1,0,1/98,43/49,"(-2, -2, -1, 2)","(1, 0, -2, -1)",6
H713,2,"(-2, 2, -1, 1)","(-1/4,13/28,1/4,-1/28)",1,1,0,25/196,34/49,"(-2, -2, -1, 2)","(1, -1, -2, -1)",6
H713,2,"(-2, 2, -1, 2)","(0,1/2,1/2,0)",1,1,0,1/98,57/98,"(-2, -2, -1, 2)","(1, -1, -2, -2)",6
H713,2,"(-2, 2, 0, -1)","(-3/4,13/28,-1/4,-1/28)",1,1,0,25/196,39/49,"(-2, -2, -1, 2)","(1, 1, -2, 0)",6
H713,2,"(-2, 2, 0, 0)","(-1/2,1/2,0,0)",1,1,0,0,29/49,"(-2, -2, -1, 2)","(1, 0, -2, 0)",6
H713,2,"(-2, 2, 0, 1)","(-1/4,15/28,1/4,1/28)",1,1,0,25/196,45/49,"(-2, -2, -1, 2)","(1, -1, -2, -1)",6
H713,2,"(-2, 2, 0, 2)","(0,4/7,1/2,1/14)",1,1,0,0,95/98,"(-2, -2, -1, 2)","(1, -1, -2, -2)",6
