base_p1,model_type,p1,p2,p3,p4,vortex_winding,trivial_winding,holonomy_phase_total,phase_closure_ok,encircles_defect,pop_threshold_steps,ceab_loop_length,ceab_phase_closure_ok,gap_law_ok,canonical_vortex_winding,topological_contrast_vs_canonical,defect_core_valid,tag
19421,ceab_shift,19427,19429,19421,19423,0,0,0,0,0,4,2,1,0,1,1,1,[B]
19421,channel_shuffle,19427,19423,19421,19429,0,0,0,0,0,4,2,1,0,1,1,1,[B]
21011,canonical,21011,21013,21017,21019,1,0,0,1,1,4,2,1,1,1,0,1,[B]
21011,ceab_shift,21017,21019,21011,21013,0,0,0,0,0,4,2,1,0,1,1,1,[B]
21011,channel_shuffle,21017,21013,21011,21019,0,0,0,0,0,4,2,1,0,1,1,1,[B]
22271,canonical,22271,22273,22277,22279,1,0,0,1,1,4,2,1,1,1,0,1,[B]
22271,ceab_shift,22277,22279,22271,22273,0,0,0,0,0,4,2,1,0,1,1,1,[B]
22271,channel_shuffle,22277,22273,22271,22279,0,0,0,0,0,4,2,1,0,1,1,1,[B]
25301,canonical,25301,25303,25307,25309,1,0,0,1,1,4,2,1,1,1,0,1,[B]
25301,ceab_shift,25307,25309,25301,25303,0,0,0,0,0,4,2,1,0,1,1,1,[B]
25301,channel_shuffle,25307,25303,25301,25309,0,0,0,0,0,4,2,1,0,1,1,1,[B]
31721,canonical,31721,31723,31727,31729,1,0,0,1,1,4,2,1,1,1,0,1,[B]
31721,ceab_shift,31727,31729,31721,31723,0,0,0,0,0,4,2,1,0,1,1,1,[B]
31721,channel_shuffle,31727,31723,31721,31729,0,0,0,0,0,4,2,1,0,1,1,1,[B]
34841,canonical,34841,34843,34847,34849,1,0,0,1,1,4,2,1,1,1,0,1,[B]
34841,ceab_shift,34847,34849,34841,34843,0,0,0,0,0,4,2,1,0,1,1,1,[B]
34841,channel_shuffle,34847,34843,34841,34849,0,0,0,0,0,4,2,1,0,1,1,1,[B]
43781,canonical,43781,43783,43787,43789,1,0,0,1,1,4,2,1,1,1,0,1,[B]
43781,ceab_shift,43787,43789,43781,43783,0,0,0,0,0,4,2,1,0,1,1,1,[B]
43781,channel_shuffle,43787,43783,43781,43789,0,0,0,0,0,4,2,1,0,1,1,1,[B]
51341,canonical,51341,51343,51347,51349,1,0,0,1,1,4,2,1,1,1,0,1,[B]
51341,ceab_shift,51347,51349,51341,51343,0,0,0,0,0,4,2,1,0,1,1,1,[B]
51341,channel_shuffle,51347,51343,51341,51349,0,0,0,0,0,4,2,1,0,1,1,1,[B]
55331,canonical,55331,55333,55337,55339,1,0,0,1,1,4,2,1,1,1,0,1,[B]
55331,ceab_shift,55337,55339,55331,55333,0,0,0,0,0,4,2,1,0,1,1,1,[B]
55331,channel_shuffle,55337,55333,55331,55339,0,0,0,0,0,4,2,1,0,1,1,1,[B]
62981,canonical,62981,62983,62987,62989,1,0,0,1,1,4,2,1,1,1,0,1,[B]
62981,ceab_shift,62987,62989,62981,62983,0,0,0,0,0,4,2,1,0,1,1,1,[B]
62981,channel_shuffle,62987,62983,62981,62989,0,0,0,0,0,4,2,1,0,1,1,1,[B]
67211,canonical,67211,67213,67217,67219,1,0,0,1,1,4,2,1,1,1,0,1,[B]
67211,ceab_shift,67217,67219,67211,67213,0,0,0,0,0,4,2,1,0,1,1,1,[B]
67211,channel_shuffle,67217,67213,67211,67219,0,0,0,0,0,4,2,1,0,1,1,1,[B]
69491,canonical,69491,69493,69497,69499,1,0,0,1,1,4,2,1,1,1,0,1,[B]
69491,ceab_shift,69497,69499,69491,69493,0,0,0,0,0,4,2,1,0,1,1,1,[B]
69491,channel_shuffle,69497,69493,69491,69499,0,0,0,0,0,4,2,1,0,1,1,1,[B]
72221,canonical,72221,72223,72227,72229,1,0,0,1,1,4,2,1,1,1,0,1,[B]
72221,ceab_shift,72227,72229,72221,72223,0,0,0,0,0,4,2,1,0,1,1,1,[B]
72221,channel_shuffle,72227,72223,72221,72229,0,0,0,0,0,4,2,1,0,1,1,1,[B]
77261,canonical,77261,77263,77267,77269,1,0,0,1,1,4,2,1,1,1,0,1,[B]
77261,ceab_shift,77267,77269,77261,77263,0,0,0,0,0,4,2,1,0,1,1,1,[B]
77261,channel_shuffle,77267,77263,77261,77269,0,0,0,0,0,4,2,1,0,1,1,1,[B]
79691,canonical,79691,79693,79697,79699,1,0,0,1,1,4,2,1,1,1,0,1,[B]
79691,ceab_shift,79697,79699,79691,79693,0,0,0,0,0,4,2,1,0,1,1,1,[B]
79691,channel_shuffle,79697,79693,79691,79699,0,0,0,0,0,4,2,1,0,1,1,1,[B]
81041,canonical,81041,81043,81047,81049,1,0,0,1,1,4,2,1,1,1,0,1,[B]
81041,ceab_shift,81047,81049,81041,81043,0,0,0,0,0,4,2,1,0,1,1,1,[B]
81041,channel_shuffle,81047,81043,81041,81049,0,0,0,0,0,4,2,1,0,1,1,1,[B]
82721,canonical,82721,82723,82727,82729,1,0,0,1,1,4,2,1,1,1,0,1,[B]
82721,ceab_shift,82727,82729,82721,82723,0,0,0,0,0,4,2,1,0,1,1,1,[B]
82721,channel_shuffle,82727,82723,82721,82729,0,0,0,0,0,4,2,1,0,1,1,1,[B]
88811,canonical,88811,88813,88817,88819,1,0,0,1,1,4,2,1,1,1,0,1,[B]
88811,ceab_shift,88817,88819,88811,88813,0,0,0,0,0,4,2,1,0,1,1,1,[B]
