gap_type,count_index_from,count_index_to,p_from,p_to,anchor_delta,missing_indices,host,gap_d1,gap_d2,verify_ok
anchor_enumeration,114,115,572651,585911,13260,,,,,True
anchor_enumeration,115,116,585911,594821,8910,,,,,True
anchor_enumeration,116,117,594821,597671,2850,,,,,True
anchor_enumeration,117,118,597671,607301,9630,,,,,True
anchor_enumeration,118,119,607301,622241,14940,,,,,True
anchor_enumeration,119,120,622241,626621,4380,,,,,True
anchor_enumeration,120,121,626621,632081,5460,,,,,True
anchor_enumeration,121,122,632081,632321,240,,,,,True
anchor_enumeration,122,123,632321,633461,1140,,,,,True
anchor_enumeration,123,124,633461,633791,330,,,,,True
anchor_enumeration,124,125,633791,654161,20370,,,,,True
anchor_enumeration,125,126,654161,657491,3330,,,,,True
anchor_enumeration,126,127,657491,661091,3600,,,,,True
anchor_enumeration,127,128,661091,663581,2490,,,,,True
anchor_enumeration,128,129,663581,664661,1080,,,,,True
anchor_enumeration,129,130,664661,666431,1770,,,,,True
anchor_enumeration,130,131,666431,680291,13860,,,,,True
anchor_enumeration,131,132,680291,681251,960,,,,,True
anchor_enumeration,132,133,681251,691721,10470,,,,,True
anchor_enumeration,133,134,691721,705161,13440,,,,,True
anchor_enumeration,134,135,705161,715151,9990,,,,,True
anchor_enumeration,135,136,715151,734471,19320,,,,,True
anchor_enumeration,136,137,734471,736361,1890,,,,,True
anchor_enumeration,137,138,736361,739391,3030,,,,,True
anchor_enumeration,138,139,739391,768191,28800,,,,,True
anchor_enumeration,139,140,768191,773021,4830,,,,,True
anchor_enumeration,140,141,773021,795791,22770,,,,,True
anchor_enumeration,141,142,795791,803441,7650,,,,,True
anchor_enumeration,142,143,803441,814061,10620,,,,,True
anchor_enumeration,143,144,814061,822161,8100,,,,,True
anchor_enumeration,144,145,822161,823721,1560,,,,,True
anchor_enumeration,145,146,823721,829721,6000,,,,,True
anchor_enumeration,146,147,829721,833711,3990,,,,,True
anchor_enumeration,147,148,833711,837071,3360,,,,,True
anchor_enumeration,148,149,837071,845981,8910,,,,,True
anchor_enumeration,149,150,845981,854921,8940,,,,,True
anchor_enumeration,150,151,854921,855731,810,,,,,True
anchor_enumeration,151,152,855731,857951,2220,,,,,True
anchor_enumeration,152,153,857951,875261,17310,,,,,True
anchor_enumeration,153,154,875261,876011,750,,,,,True
anchor_enumeration,154,155,876011,881471,5460,,,,,True
anchor_enumeration,155,156,881471,889871,8400,,,,,True
anchor_enumeration,156,157,889871,907391,17520,,,,,True
