index,prime_count_scope,v_abcE,p_anchor,A,B,C,E,p1_sorted,p2_sorted,p3_sorted,p4_sorted,channels_sorted,span,gaps_sorted,canonical_primquadruplet,quat_norm,sqrt_norm,pair_gaps,host_E,host_A,host_B,host_C,verify_dumas_lemma,natural_fill_gaps,natural_fill_gap_free,triple_slot_primes,rotor_host,rotor_d_artagnan,rotor_d_artagnan_canonical_formula,rotor_d_artagnan_matches_canonical_formula,rotor_musketiere,rotor_d1,rotor_d2,rotor_gap_pair,rotor_gap_matches_canonical,host_E_component,host_E_musketiere,host_E_d1,host_E_d2,host_E_gap_pair,host_E_gap_matches_canonical,host_A_component,host_A_musketiere,host_A_d1,host_A_d2,host_A_gap_pair,host_A_gap_matches_canonical,host_B_component,host_B_musketiere,host_B_d1,host_B_d2,host_B_gap_pair,host_B_gap_matches_canonical,host_C_component,host_C_musketiere,host_C_d1,host_C_d2,host_C_gap_pair,host_C_gap_matches_canonical
37,200,"(809, 811, 863, 1009)",809,809,811,863,1009,809,811,863,1009,"A,B,C,E",200,"2,52,146",False,3075052,1753,42120,1009,809,811,863,True,,True,"809,811,863,811,863,1009,809,863,1009,809,811,1009",E,1009,817,False,"(809, 811, 863)",2,52,"(2, 52)",False,1009,"(809, 811, 863)",2,52,"(2, 52)",False,809,"(811, 863, 1009)",52,146,"(52, 146)",False,811,"(809, 863, 1009)",54,146,"(54, 146)",False,863,"(809, 811, 1009)",2,198,"(2, 198)",False
38,200,"(821, 823, 887, 1021)",821,821,823,887,1021,821,823,887,1021,"A,B,C,E",200,"2,64,134",False,3180580,1783,43560,1021,821,823,887,True,,True,"821,823,887,823,887,1021,821,887,1021,821,823,1021",A,821,821,True,"(823, 887, 1021)",64,134,"(64, 134)",False,1021,"(821, 823, 887)",2,64,"(2, 64)",False,821,"(823, 887, 1021)",64,134,"(64, 134)",False,823,"(821, 887, 1021)",66,134,"(66, 134)",False,887,"(821, 823, 1021)",2,198,"(2, 198)",False
39,200,"(857, 859, 911, 1033)",857,857,859,911,1033,857,859,911,1033,"A,B,C,E",176,"2,52,122",False,3369340,1835,33192,1033,857,859,911,True,,True,"857,859,911,859,911,1033,857,911,1033,857,859,1033",B,859,859,True,"(857, 911, 1033)",54,122,"(54, 122)",False,1033,"(857, 859, 911)",2,52,"(2, 52)",False,857,"(859, 911, 1033)",52,122,"(52, 122)",False,859,"(857, 911, 1033)",54,122,"(54, 122)",False,911,"(857, 859, 1033)",2,174,"(2, 174)",False
40,200,"(881, 883, 947, 1069)",881,881,883,947,1069,881,883,947,1069,"A,B,C,E",188,"2,64,122",False,3595420,1896,38952,1069,881,883,947,True,,True,"881,883,947,883,947,1069,881,947,1069,881,883,1069",C,947,887,False,"(881, 883, 1069)",2,186,"(2, 186)",False,1069,"(881, 883, 947)",2,64,"(2, 64)",False,881,"(883, 947, 1069)",64,122,"(64, 122)",False,883,"(881, 947, 1069)",66,122,"(66, 122)",False,947,"(881, 883, 1069)",2,186,"(2, 186)",False
41,200,"(929, 907, 971, 1093)",929,929,907,971,1093,907,929,971,1093,"B,A,C,E",186,"22,42,122",False,3823180,1955,36360,1093,929,907,971,True,,True,"907,929,971,907,971,1093,929,971,1093,907,929,1093",E,1093,937,False,"(907, 929, 971)",22,42,"(22, 42)",False,1093,"(907, 929, 971)",22,42,"(22, 42)",False,929,"(907, 971, 1093)",64,122,"(64, 122)",False,907,"(929, 971, 1093)",42,122,"(42, 122)",False,971,"(907, 929, 1093)",22,164,"(22, 164)",False
42,200,"(941, 919, 983, 1117)",941,941,919,983,1117,919,941,983,1117,"B,A,C,E",198,"22,42,134",False,3944020,1985,40968,1117,941,919,983,True,,True,"919,941,983,919,983,1117,941,983,1117,919,941,1117",A,941,941,True,"(919, 983, 1117)",64,134,"(64, 134)",False,1117,"(919, 941, 983)",22,42,"(22, 42)",False,941,"(919, 983, 1117)",64,134,"(64, 134)",False,919,"(941, 983, 1117)",42,134,"(42, 134)",False,983,"(919, 941, 1117)",22,176,"(22, 176)",False
43,200,"(953, 967, 1019, 1129)",953,953,967,1019,1129,953,967,1019,1129,"A,B,C,E",176,"14,52,110",False,4156300,2038,30600,1129,953,967,1019,True,,True,"953,967,1019,967,1019,1129,953,1019,1129,953,967,1129",B,967,955,False,"(953, 1019, 1129)",66,110,"(66, 110)",False,1129,"(953, 967, 1019)",14,52,"(14, 52)",False,953,"(967, 1019, 1129)",52,110,"(52, 110)",False,967,"(953, 1019, 1129)",66,110,"(66, 110)",False,1019,"(953, 967, 1129)",14,162,"(14, 162)",False
44,200,"(977, 991, 1031, 1153)",977,977,991,1031,1153,977,991,1031,1153,"A,B,C,E",176,"14,40,122",False,4328980,2080,29160,1153,977,991,1031,True,,True,"977,991,1031,991,1031,1153,977,1031,1153,977,991,1153",C,1031,983,False,"(977, 991, 1153)",14,162,"(14, 162)",False,1153,"(977, 991, 1031)",14,40,"(14, 40)",False,977,"(991, 1031, 1153)",40,122,"(40, 122)",False,991,"(977, 1031, 1153)",54,122,"(54, 122)",False,1031,"(977, 991, 1153)",14,162,"(14, 162)",False
45,200,"(1013, 1039, 1091, 1201)",1013,1013,1039,1091,1201,1013,1039,1091,1201,"A,B,C,E",188,"26,52,110",False,4738372,2176,32328,1201,1013,1039,1091,True,,True,"1013,1039,1091,1039,1091,1201,1013,1091,1201,1013,1039,1201",E,1201,1021,False,"(1013, 1039, 1091)",26,52,"(26, 52)",False,1201,"(1013, 1039, 1091)",26,52,"(26, 52)",False,1013,"(1039, 1091, 1201)",52,110,"(52, 110)",False,1039,"(1013, 1091, 1201)",78,110,"(78, 110)",False,1091,"(1013, 1039, 1201)",26,162,"(26, 162)",False
46,200,"(1049, 1051, 1103, 1213)",1049,1049,1051,1103,1213,1049,1051,1103,1213,"A,B,C,E",164,"2,52,110",False,4892980,2212,29160,1213,1049,1051,1103,True,,True,"1049,1051,1103,1051,1103,1213,1049,1103,1213,1049,1051,1213",A,1049,1049,True,"(1051, 1103, 1213)",52,110,"(52, 110)",False,1213,"(1049, 1051, 1103)",2,52,"(2, 52)",False,1049,"(1051, 1103, 1213)",52,110,"(52, 110)",False,1051,"(1049, 1103, 1213)",54,110,"(54, 110)",False,1103,"(1049, 1051, 1213)",2,162,"(2, 162)",False
