index,p1,p2,p3,p4,channels,span,gaps,canonical
286,9127,9161,9239,9433,"B,A,C,E",306,"34,78,194",False
287,9151,9173,9311,9601,"B,A,C,E",450,"22,138,290",False
288,9187,9209,9323,9613,"B,A,C,E",426,"22,114,290",False
289,9199,9221,9371,9649,"B,A,C,E",450,"22,150,278",False
290,9257,9283,9419,9661,"A,B,C,E",404,"26,136,242",False
291,9281,9319,9431,9697,"A,B,C,E",416,"38,112,266",False
292,9293,9343,9467,9721,"A,B,C,E",428,"50,124,254",False
293,9341,9391,9479,9733,"A,B,C,E",392,"50,88,254",False
294,9377,9403,9491,9769,"A,B,C,E",392,"26,88,278",False
295,9413,9439,9539,9781,"A,B,C,E",368,"26,100,242",False
296,9437,9463,9551,9817,"A,B,C,E",380,"26,88,266",False
297,9461,9511,9587,9829,"A,B,C,E",368,"50,76,242",False
298,9473,9547,9623,9901,"A,B,C,E",428,"74,76,278",False
299,9497,9619,9719,9949,"A,B,C,E",452,"122,100,230",False
300,9521,9631,9743,9973,"A,B,C,E",452,"110,112,230",False
301,9533,9643,9767,10009,"A,B,C,E",476,"110,124,242",False
302,9629,9679,9791,10069,"A,B,C,E",440,"50,112,278",False
303,9677,9739,9803,10093,"A,B,C,E",416,"62,64,290",False
304,9689,9787,9839,10141,"A,B,C,E",452,"98,52,302",False
305,9749,9811,9851,10177,"A,B,C,E",428,"62,40,326",False
306,9833,9859,9887,10273,"A,B,C,E",440,"26,28,386",False
307,9857,9871,9923,10321,"A,B,C,E",464,"14,52,398",False
308,9883,9929,10007,10333,"B,A,C,E",450,"46,78,326",False
309,9907,9941,10067,10357,"B,A,C,E",450,"34,126,290",False
310,9931,10037,10079,10369,"B,A,C,E",438,"106,42,290",False
311,9967,10061,10091,10429,"B,A,C,E",462,"94,30,338",False
312,10039,10103,10133,10453,"B,C,A,E",414,"64,30,320",False
313,10099,10139,10169,10477,"B,C,A,E",378,"40,30,308",False
314,10111,10151,10181,10501,"B,C,A,E",390,"40,30,320",False
315,10159,10163,10193,10513,"B,C,A,E",354,"4,30,320",False
316,10211,10243,10253,10597,"C,B,A,E",386,"32,10,344",False
317,10223,10267,10289,10657,"C,B,A,E",434,"44,22,368",False
318,10247,10301,10303,10729,"C,A,B,E",482,"54,2,426",False
319,10259,10313,10399,10753,"C,A,B,E",494,"54,86,354",False
320,10271,10337,10459,10789,"C,A,B,E",518,"66,122,330",False
321,10331,10433,10531,10837,"C,A,B,E",506,"102,98,306",False
322,10343,10457,10567,10861,"C,A,B,E",518,"114,110,294",False
323,10391,10529,10627,10909,"C,A,B,E",518,"138,98,282",False
324,10427,10589,10639,10957,"C,A,B,E",530,"162,50,318",False
325,10463,10601,10651,10993,"C,A,B,E",530,"138,50,342",False
326,10487,10613,10663,11113,"C,A,B,E",626,"126,50,450",False
327,10499,10687,10709,11149,"C,B,A,E",650,"188,22,440",False
328,10559,10711,10733,11161,"C,B,A,E",602,"152,22,428",False
329,10607,10723,10781,11173,"C,B,A,E",566,"116,58,392",False
330,10631,10771,10853,11197,"C,B,A,E",566,"140,82,344",False
331,10667,10831,10889,11257,"C,B,A,E",590,"164,58,368",False
332,10691,10867,10937,11317,"C,B,A,E",626,"176,70,380",False
333,10739,10891,10949,11329,"C,B,A,E",590,"152,58,380",False
334,10799,10903,10973,11353,"C,B,A,E",554,"104,70,380",False
335,10847,10939,11057,11437,"C,B,A,E",590,"92,118,380",False
336,10859,10987,11069,11497,"C,B,A,E",638,"128,82,428",False
337,10883,11047,11093,11593,"C,B,A,E",710,"164,46,500",False
338,10979,11059,11117,11617,"C,B,A,E",638,"80,58,500",False
339,11003,11071,11177,11677,"C,B,A,E",674,"68,106,500",False
340,11027,11083,11213,11689,"C,B,A,E",662,"56,130,476",False
341,11087,11119,11261,11701,"C,B,A,E",614,"32,142,440",False
342,11131,11159,11273,11821,"B,C,A,E",690,"28,114,548",False
343,11171,11239,11321,11833,"C,B,A,E",662,"68,82,512",False
344,11243,11251,11369,11941,"C,B,A,E",698,"8,118,572",False
345,11279,11287,11393,11953,"C,B,A,E",674,"8,106,560",False
346,11299,11351,11489,12037,"B,C,A,E",738,"52,138,548",False
347,11311,11399,11549,12049,"B,C,A,E",738,"88,150,500",False
348,11383,11411,11597,12073,"B,C,A,E",690,"28,186,476",False
349,11423,11443,11621,12097,"C,B,A,E",674,"20,178,476",False
350,11447,11467,11633,12109,"C,B,A,E",662,"20,166,476",False
351,11471,11491,11657,12157,"C,B,A,E",686,"20,166,500",False
352,11483,11503,11681,12241,"C,B,A,E",758,"20,178,560",False
353,11519,11527,11717,12253,"C,B,A,E",734,"8,190,536",False
354,11551,11579,11777,12277,"B,C,A,E",726,"28,198,500",False
355,11587,11699,11789,12289,"B,C,A,E",702,"112,90,500",False
356,11719,11783,11801,12301,"B,C,A,E",582,"64,18,500",False
357,11731,11807,11813,12373,"B,C,A,E",642,"76,6,560",False
358,11743,11831,11897,12409,"B,C,A,E",666,"88,66,512",False
359,11779,11867,11909,12421,"B,C,A,E",642,"88,42,512",False
360,11827,11903,11933,12433,"B,C,A,E",606,"76,30,500",False
361,11839,11927,11969,12457,"B,C,A,E",618,"88,42,488",False
362,11863,11939,11981,12517,"B,C,A,E",654,"76,42,536",False
363,11887,11987,12041,12541,"B,C,A,E",654,"100,54,500",False
364,11923,12011,12101,12553,"B,C,A,E",630,"88,90,452",False
365,11959,12071,12113,12577,"B,C,A,E",618,"112,42,464",False
366,11971,12107,12149,12589,"B,C,A,E",618,"136,42,440",False
367,12007,12119,12161,12601,"B,C,A,E",594,"112,42,440",False
368,12043,12143,12197,12613,"B,C,A,E",570,"100,54,416",False
