index,p1,p2,p3,p4,channels,span,gaps,canonical
462,15641,15679,15683,16417,"A,B,C,E",776,"38,4,734",False
463,15727,15731,15737,16453,"B,C,A,E",726,"4,6,716",False
464,15739,15749,15767,16477,"B,A,C,E",738,"10,18,710",False
465,15761,15787,15791,16561,"A,B,C,E",800,"26,4,770",False
466,15773,15803,15823,16573,"A,C,B,E",800,"30,20,750",False
467,15797,15859,15887,16633,"A,B,C,E",836,"62,28,746",False
468,15809,15907,15923,16657,"A,B,C,E",848,"98,16,734",False
469,15881,15919,15959,16693,"A,B,C,E",812,"38,40,734",False
470,15971,15991,16001,16729,"C,B,A,E",758,"20,10,728",False
471,16007,16061,16063,16741,"C,A,B,E",734,"54,2,678",False
472,16067,16073,16087,16921,"C,A,B,E",854,"6,14,834",False
473,16091,16097,16111,16981,"C,A,B,E",890,"6,14,870",False
474,16103,16183,16193,16993,"C,B,A,E",890,"80,10,800",False
475,16127,16217,16231,17029,"C,A,B,E",902,"90,14,798",False
476,16139,16229,16267,17041,"C,A,B,E",902,"90,38,774",False
477,16187,16253,16339,17053,"C,A,B,E",866,"66,86,714",False
478,16223,16301,16363,17077,"C,A,B,E",854,"78,62,714",False
479,16319,16349,16411,17137,"C,A,B,E",818,"30,62,726",False
480,16361,16427,16447,17209,"A,C,B,E",848,"66,20,762",False
481,16421,16451,16519,17257,"A,C,B,E",836,"30,68,738",False
482,16433,16487,16567,17293,"A,C,B,E",860,"54,80,726",False
483,16481,16547,16603,17317,"A,C,B,E",836,"66,56,714",False
484,16493,16607,16651,17341,"A,C,B,E",848,"114,44,690",False
485,16529,16619,16699,17377,"A,C,B,E",848,"90,80,678",False
486,16553,16631,16747,17389,"A,C,B,E",836,"78,116,642",False
