index,p,A,B,C,E,norm_height,sqrt_norm,pair_gaps,host_E,host_A,host_B,host_C,triple_slot_primes
38,99131,99131,99133,99137,99139,39310992940,198270,72,99139,99131,99133,99137,"99131,99133,99137,99133,99137,99139,99131,99137,99139,99131,99133,99139"
39,101111,101111,101113,101117,101119,40896972940,202230,72,101119,101111,101113,101117,"101111,101113,101117,101113,101117,101119,101111,101117,101119,101111,101113,101119"
40,109841,109841,109843,109847,109849,48263696140,219690,72,109849,109841,109843,109847,"109841,109843,109847,109843,109847,109849,109841,109847,109849,109841,109843,109849"
41,116531,116531,116533,116537,116539,54321624940,233070,72,116539,116531,116533,116537,"116531,116533,116537,116533,116537,116539,116531,116537,116539,116531,116533,116539"
42,119291,119291,119293,119297,119299,56925188140,238590,72,119299,119291,119293,119297,"119291,119293,119297,119293,119297,119299,119291,119297,119299,119291,119293,119299"
43,122201,122201,122203,122207,122209,59736248140,244410,72,122209,122201,122203,122207,"122201,122203,122207,122203,122207,122209,122201,122207,122209,122201,122203,122209"
44,135461,135461,135463,135467,135469,73403064940,270930,72,135469,135461,135463,135467,"135461,135463,135467,135463,135467,135469,135461,135467,135469,135461,135463,135469"
45,144161,144161,144163,144167,144169,83134188940,288330,72,144169,144161,144163,144167,"144161,144163,144167,144163,144167,144169,144161,144167,144169,144161,144163,144169"
46,157271,157271,157273,157277,157279,98941702540,314550,72,157279,157271,157273,157277,"157271,157273,157277,157273,157277,157279,157271,157277,157279,157271,157273,157279"
47,165701,165701,165703,165707,165709,109832588140,331410,72,165709,165701,165703,165707,"165701,165703,165707,165703,165707,165709,165701,165707,165709,165701,165703,165709"
48,166841,166841,166843,166847,166849,111349016140,333690,72,166849,166841,166843,166847,"166841,166843,166847,166843,166847,166849,166841,166847,166849,166841,166843,166849"
49,171161,171161,171163,171167,171169,117189828940,342330,72,171169,171161,171163,171167,"171161,171163,171167,171163,171167,171169,171161,171167,171169,171161,171163,171169"
50,187631,187631,187633,187637,187639,140827572940,375270,72,187639,187631,187633,187637,"187631,187633,187637,187633,187637,187639,187631,187637,187639,187631,187633,187639"
