n,prefix_index,canonical_x,canonical_y,canonical_z,bridged_x,bridged_y,bridged_z,axis_label,axis_label_status,interpretive_word,interpretive_word_status,energiedoku_interp_x,energiedoku_interp_y,energiedoku_interp_z,energiedoku_interp_diff_l2,sep_canonical,sep_energiedoku_diagnostic,sep_bridged,bridged_compatible_n_nplus1,bridge_status,bijection_status,gate_eligible,gate_active,track_a_source,track_b_source,notes
1,0,-1.0,0.0,0.0,-1.0,-0.0,-0.0,C,C,C,C,-1.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,True,partial_interpretive_no_global_bijection,partial_no_global_bijection,False,False,canonical_from_qec_bridge,theorematic_energiedoku_cardinal_lattice,interpretive_word_exact
1,1,0.0,-1.0,0.0,0.0,1.0,-0.0,A,C,A,C,0.0,1.0,0.0,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,True,partial_interpretive_no_global_bijection,partial_no_global_bijection,False,False,canonical_from_qec_bridge,theorematic_energiedoku_cardinal_lattice,interpretive_word_exact
2,0,-1.0,0.0,0.0,-1.0,-0.0,-0.0,C,C,CC,C,1.145898,1.145898,0.0,2.432685851647927,1.4142135623730951,0.381966,1.4142135623730951,True,partial_interpretive_no_global_bijection,partial_no_global_bijection,False,False,canonical_from_qec_bridge,theorematic_energiedoku_cardinal_lattice,interpretive_word_divergent
2,1,0.0,-1.0,0.0,0.0,1.0,-0.0,A,C,AA,C,0.381966,0.381966,0.0,0.7265425316607418,1.4142135623730951,0.381966,1.4142135623730951,True,partial_interpretive_no_global_bijection,partial_no_global_bijection,False,False,canonical_from_qec_bridge,theorematic_energiedoku_cardinal_lattice,interpretive_word_divergent
2,2,0.0,0.0,-1.0,0.0,-0.0,1.0,B,C,BB,C,0.763932,0.763932,0.0,1.472135931647618,1.4142135623730951,0.381966,1.4142135623730951,True,partial_interpretive_no_global_bijection,partial_no_global_bijection,False,False,canonical_from_qec_bridge,theorematic_energiedoku_cardinal_lattice,interpretive_word_divergent
3,0,-1.0,0.0,0.0,-1.0,-0.0,-0.0,C,C,CCC,C,0.708204,0.708204,0.708204,1.98016835568292,1.4142135623730951,0.23606799999999994,1.4142135623730951,,partial_interpretive_no_global_bijection,partial_no_global_bijection,False,False,canonical_from_qec_bridge,theorematic_energiedoku_cardinal_lattice,interpretive_word_divergent
3,1,0.0,-1.0,0.0,0.0,1.0,-0.0,A,C,AAA,C,0.236068,0.236068,0.236068,0.8336955690610334,1.4142135623730951,0.23606799999999994,1.4142135623730951,,partial_interpretive_no_global_bijection,partial_no_global_bijection,False,False,canonical_from_qec_bridge,theorematic_energiedoku_cardinal_lattice,interpretive_word_divergent
3,2,0.0,0.0,-1.0,0.0,-0.0,1.0,B,C,BBB,C,0.472136,0.472136,0.472136,0.8511552193859825,1.4142135623730951,0.23606799999999994,1.4142135623730951,,partial_interpretive_no_global_bijection,partial_no_global_bijection,False,False,canonical_from_qec_bridge,theorematic_energiedoku_cardinal_lattice,interpretive_word_divergent
3,3,0.0,0.0,1.0,0.0,-0.0,-1.0,B,H,BBB,H,0.472136,0.472136,0.472136,1.6164805001879856,1.4142135623730951,0.23606799999999994,1.4142135623730951,,partial_interpretive_no_global_bijection,partial_no_global_bijection,False,False,canonical_from_qec_bridge,theorematic_energiedoku_cardinal_lattice,interpretive_word_divergent
