rank,n,E,A,B,C,M,eabc_channel,mod12,partition,quat_a,quat_b,quat_c,quat_e,quat_norm
88,463,0,0,1,0,1,B,7,"1,0,0,0",0,463,0,0,214369
89,467,0,0,0,1,1,C,11,"1,0,0,0",0,0,467,0,218089
90,479,0,0,0,1,1,C,11,"1,0,0,0",0,0,479,0,229441
91,487,0,0,1,0,1,B,7,"1,0,0,0",0,487,0,0,237169
92,491,0,0,0,1,1,C,11,"1,0,0,0",0,0,491,0,241081
93,499,0,0,1,0,1,B,7,"1,0,0,0",0,499,0,0,249001
94,503,0,0,0,1,1,C,11,"1,0,0,0",0,0,503,0,253009
95,509,0,1,0,0,1,A,5,"1,0,0,0",509,0,0,0,259081
96,521,0,1,0,0,1,A,5,"1,0,0,0",521,0,0,0,271441
97,523,0,0,1,0,1,B,7,"1,0,0,0",0,523,0,0,273529
98,541,1,0,0,0,1,E,1,"1,0,0,0",0,0,0,541,292681
99,547,0,0,1,0,1,B,7,"1,0,0,0",0,547,0,0,299209
100,557,0,1,0,0,1,A,5,"1,0,0,0",557,0,0,0,310249
