n,hit,time,location,orbit_min,profile_steps,geom2_distance,threshold,max_steps
9,True,6,1,1,64,0.687500,4,10000
31565,True,1,11837,1,64,0.296875,15782,10000
83,True,36,23,1,64,0.265625,41,10000
139,True,3,59,1,64,0.593750,69,10000
29,True,1,11,1,64,0.687500,14,10000
21,True,1,1,1,64,0.734375,10,10000
2159,True,11,365,1,64,0.218750,1079,10000
17,True,2,5,1,64,0.718750,8,10000
96209,True,2,27059,1,64,0.621094,48104,10000
5,True,1,1,1,64,0.734375,2,10000
13,True,1,5,1,64,0.718750,6,10000
53,True,1,5,1,64,0.718750,26,10000
1167,True,6,13,1,64,0.636719,583,10000
170871,True,4,54065,1,64,0.605469,85435,10000
21,True,1,1,1,64,0.734375,10,10000
91659,True,3,38669,1,64,0.468750,45829,10000
869583,True,7,232151,1,64,0.375000,434791,10000
144509,True,1,54191,1,64,0.085938,72254,10000
13,True,1,5,1,64,0.718750,6,10000
431,True,5,205,1,64,0.593750,215,10000
2291,True,3,967,1,64,0.140625,1145,10000
67,True,2,19,1,64,0.640625,33,10000
15185,True,2,4271,1,64,0.062500,7592,10000
95271,True,5,45217,1,64,0.542969,47635,10000
231069,True,1,86651,1,64,0.125000,115534,10000
2249,True,4,89,1,64,0.601562,1124,10000
573209,True,3,241823,1,64,0.123047,286604,10000
631099,True,4,49921,1,64,0.570312,315549,10000
167,True,18,61,1,64,0.453125,83,10000
381,True,1,143,1,64,0.265625,190,10000
72747,True,4,11509,1,64,0.500000,36373,10000
437537,True,4,17305,1,64,0.546875,218768,10000
128457,True,4,40645,1,64,0.562500,64228,10000
77,True,1,29,1,64,0.671875,38,10000
305743,True,5,145109,1,64,0.335938,152871,10000
258641,True,2,72743,1,64,0.187500,129320,10000
117,True,1,11,1,64,0.687500,58,10000
55,True,37,23,1,64,0.250000,27,10000
227,True,2,1,1,64,0.733398,113,10000
831,True,9,125,1,64,0.171875,415,10000
1045,True,1,49,1,64,0.656250,522,10000
416997,True,1,78187,1,64,0.437500,208498,10000
149,True,1,7,1,64,0.671875,74,10000
17,True,2,5,1,64,0.718750,8,10000
11,True,3,5,1,64,0.703125,5,10000
3,True,2,1,1,64,0.718750,1,10000
103,True,27,23,1,64,0.359375,51,10000
27,True,40,5,1,64,0.265625,13,10000
101633,True,3,42877,1,64,0.078125,50816,10000
373,True,1,35,1,64,0.687500,186,10000
5,True,1,1,1,64,0.734375,2,10000
409,True,3,173,1,64,0.625000,204,10000
29,True,1,11,1,64,0.687500,14,10000
1415,True,4,7,1,64,0.655273,707,10000
729,True,3,77,1,64,0.640625,364,10000
69605,True,1,13051,1,64,0.484375,34802,10000
7,True,5,1,1,64,0.687500,3,10000
1665,True,3,703,1,64,0.078125,832,10000
3,True,2,1,1,64,0.718750,1,10000
6167,True,3,1301,1,64,0.609375,3083,10000
17,True,2,5,1,64,0.718750,8,10000
635,True,5,151,1,64,0.670898,317,10000
665,True,3,281,1,64,0.546875,332,10000
569,True,5,271,1,64,0.578125,284,10000
16619,True,8,13,1,64,0.671631,8309,10000
17907,True,3,7555,1,64,0.156250,8953,10000
1501,True,1,563,1,64,0.546875,750,10000
4741,True,1,889,1,64,0.101562,2370,10000
75387,True,5,8945,1,64,0.562500,37693,10000
17,True,2,5,1,64,0.718750,8,10000
14323,True,3,6043,1,64,0.234375,7161,10000
485,True,1,91,1,64,0.328125,242,10000
5,True,1,1,1,64,0.734375,2,10000
169,True,10,77,1,64,0.546875,84,10000
339371,True,24,87175,1,64,0.132812,169685,10000
420455,True,13,159823,1,64,0.109375,210227,10000
579643,True,4,183403,1,64,0.484375,289821,10000
109,True,1,41,1,64,0.265625,54,10000
9319,True,10,4199,1,64,0.406250,4659,10000
171,True,5,41,1,64,0.250000,85,10000
91,True,29,23,1,64,0.343750,45,10000
692443,True,8,277291,1,64,0.545898,346221,10000
9,True,6,1,1,64,0.687500,4,10000
9,True,6,1,1,64,0.687500,4,10000
5,True,1,1,1,64,0.734375,2,10000
151,True,3,1,1,64,0.717773,75,10000
1655,True,4,131,1,64,0.578125,827,10000
2465,True,5,1171,1,64,0.500000,1232,10000
249,True,5,119,1,64,0.562500,124,10000
3181,True,1,1193,1,64,0.304688,1590,10000
389679,True,29,47507,1,64,0.031250,194839,10000
749,True,1,281,1,64,0.562500,374,10000
1983,True,9,149,1,64,0.546875,991,10000
137657,True,4,10889,1,64,0.078125,68828,10000
623725,True,1,233897,1,64,0.117188,311862,10000
46495,True,13,8837,1,64,0.273438,23247,10000
2651,True,13,1009,1,64,0.203125,1325,10000
159,True,13,61,1,64,0.515625,79,10000
2433,True,3,1027,1,64,0.625000,1216,10000
300959,True,8,15065,1,64,0.523438,150479,10000
7,True,5,1,1,64,0.687500,3,10000
1189,True,1,223,1,64,0.406250,594,10000
769,True,3,325,1,64,0.656250,384,10000
41829,True,1,7843,1,64,0.515625,20914,10000
666627,True,2,187489,1,64,0.280273,333313,10000
21,True,1,1,1,64,0.734375,10,10000
7,True,5,1,1,64,0.687500,3,10000
8927,True,6,1589,1,64,0.562500,4463,10000
51721,True,5,6137,1,64,0.195312,25860,10000
1475,True,2,415,1,64,0.156250,737,10000
7,True,5,1,1,64,0.687500,3,10000
17071,True,6,6077,1,64,0.062500,8535,10000
35,True,2,5,1,64,0.703125,17,10000
2231,True,14,637,1,64,0.375000,1115,10000
21131,True,3,8915,1,64,0.562500,10565,10000
69,True,1,13,1,64,0.703125,34,10000
57,True,5,7,1,64,0.656250,28,10000
11,True,3,5,1,64,0.703125,5,10000
5,True,1,1,1,64,0.734375,2,10000
11,True,3,5,1,64,0.703125,5,10000
3181,True,1,1193,1,64,0.304688,1590,10000
17619,True,5,8363,1,64,0.468750,8809,10000
7,True,5,1,1,64,0.687500,3,10000
403,True,4,1,1,64,0.702148,201,10000
1767,True,15,757,1,64,0.187500,883,10000
5,True,1,1,1,64,0.734375,2,10000
57,True,5,7,1,64,0.656250,28,10000
3,True,2,1,1,64,0.718750,1,10000
41,True,39,5,1,64,0.281250,20,10000
133,True,1,25,1,64,0.656250,66,10000
15095,True,5,7165,1,64,0.289062,7547,10000
4005,True,1,751,1,64,0.117188,2002,10000
199,True,5,95,1,64,0.218750,99,10000
326117,True,1,61147,1,64,0.203125,163058,10000
564351,True,18,101813,1,64,0.218750,282175,10000
5,True,1,1,1,64,0.734375,2,10000
131595,True,3,55517,1,64,0.341797,65797,10000
53,True,1,5,1,64,0.718750,26,10000
12473,True,4,3947,1,64,0.093750,6236,10000
9,True,6,1,1,64,0.687500,4,10000
742823,True,10,334649,1,64,0.343750,371411,10000
1277,True,1,479,1,64,0.500000,638,10000
43103,True,15,9217,1,64,0.406250,21551,10000
27,True,40,5,1,64,0.265625,13,10000
155,True,25,61,1,64,0.375000,77,10000
7099,True,5,1685,1,64,0.515625,3549,10000
51,True,3,11,1,64,0.656250,25,10000
4145,True,2,583,1,64,0.652344,2072,10000
197,True,1,37,1,64,0.656250,98,10000
15913,True,15,3403,1,64,0.343750,7956,10000
19,True,5,5,1,64,0.671875,9,10000
333,True,1,125,1,64,0.265625,166,10000
4327,True,11,1463,1,64,0.046875,2163,10000
140285,True,1,52607,1,64,0.476562,70142,10000
738741,True,1,69257,1,64,0.046875,369370,10000
238379,True,4,75425,1,64,0.179688,119189,10000
529,True,2,149,1,64,0.656250,264,10000
29,True,1,11,1,64,0.687500,14,10000
482349,True,1,180881,1,64,0.545898,241174,10000
4055,True,3,1711,1,64,0.109375,2027,10000
31101,True,1,11663,1,64,0.570312,15550,10000
33985,True,3,7169,1,64,0.453125,16992,10000
1267,True,3,535,1,64,0.667969,633,10000
1569,True,4,497,1,64,0.656250,784,10000
55017,True,10,24787,1,64,0.421875,27508,10000
9605,True,1,1801,1,64,0.109375,4802,10000
547407,True,5,259805,1,64,0.398438,273703,10000
629,True,1,59,1,64,0.609375,314,10000
53,True,1,5,1,64,0.718750,26,10000
1395,True,3,589,1,64,0.203125,697,10000
17,True,2,5,1,64,0.718750,8,10000
7,True,5,1,1,64,0.687500,3,10000
745,True,17,361,1,64,0.453125,372,10000
1465,True,4,29,1,64,0.664062,732,10000
369,True,2,13,1,64,0.703125,184,10000
14759,True,6,2627,1,64,0.605469,7379,10000
273787,True,6,97457,1,64,0.105469,136893,10000
67,True,2,19,1,64,0.640625,33,10000
421,True,1,79,1,64,0.578125,210,10000
27063,True,5,12845,1,64,0.140625,13531,10000
121,True,30,23,1,64,0.343750,60,10000
5,True,1,1,1,64,0.734375,2,10000
7,True,5,1,1,64,0.687500,3,10000
1169,True,2,329,1,64,0.546875,584,10000
2357,True,1,221,1,64,0.234375,1178,10000
3017,True,4,955,1,64,0.624023,1508,10000
2075,True,23,89,1,64,0.367188,1037,10000
11,True,3,5,1,64,0.703125,5,10000
92439,True,3,19499,1,64,0.562500,46219,10000
21,True,1,1,1,64,0.734375,10,10000
329,True,5,157,1,64,0.562500,164,10000
771,True,2,217,1,64,0.625000,385,10000
11927,True,3,629,1,64,0.570312,5963,10000
3139,True,2,883,1,64,0.625000,1569,10000
7209,True,7,1925,1,64,0.500000,3604,10000
477731,True,2,67181,1,64,0.062500,238865,10000
69351,True,10,7811,1,64,0.203125,34675,10000
15,True,4,5,1,64,0.671875,7,10000
121,True,30,23,1,64,0.343750,60,10000
11,True,3,5,1,64,0.703125,5,10000
201,True,4,1,1,64,0.717773,100,10000
101,True,1,19,1,64,0.656250,50,10000
5,True,1,1,1,64,0.734375,2,10000
129,True,3,55,1,64,0.250000,64,10000
3,True,2,1,1,64,0.718750,1,10000
9,True,6,1,1,64,0.687500,4,10000
3381,True,1,317,1,64,0.578125,1690,10000
45,True,1,17,1,64,0.703125,22,10000
4297,True,4,85,1,64,0.714844,2148,10000
3,True,2,1,1,64,0.718750,1,10000
909,True,1,341,1,64,0.733398,454,10000
23,True,3,5,1,64,0.687500,11,10000
13,True,1,5,1,64,0.718750,6,10000
112687,True,15,24095,1,64,0.078125,56343,10000
5,True,1,1,1,64,0.734375,2,10000
13173,True,1,1235,1,64,0.156250,6586,10000
5027,True,2,707,1,64,0.171875,2513,10000
320605,True,1,120227,1,64,0.514648,160302,10000
57343,True,47,5045,1,64,0.046875,28671,10000
778077,True,1,291779,1,64,0.148438,389038,10000
13,True,1,5,1,64,0.718750,6,10000
42643,True,4,13493,1,64,0.546875,21321,10000
31,True,38,5,1,64,0.281250,15,10000
7,True,5,1,1,64,0.687500,3,10000
11,True,3,5,1,64,0.703125,5,10000
39,True,5,19,1,64,0.609375,19,10000
69,True,1,13,1,64,0.703125,34,10000
10691,True,2,3007,1,64,0.062500,5345,10000
8853,True,1,415,1,64,0.171875,4426,10000
117,True,1,11,1,64,0.687500,58,10000
806035,True,4,255035,1,64,0.250000,403017,10000
561025,True,3,236683,1,64,0.554688,280512,10000
4493,True,1,1685,1,64,0.562500,2246,10000
733,True,1,275,1,64,0.328125,366,10000
3679,True,6,655,1,64,0.093750,1839,10000
328617,True,35,57043,1,64,0.076172,164308,10000
35,True,2,5,1,64,0.703125,17,10000
11,True,3,5,1,64,0.703125,5,10000
95,True,34,23,1,64,0.265625,47,10000
38481,True,2,10823,1,64,0.484375,19240,10000
414389,True,1,38849,1,64,0.265625,207194,10000
229235,True,3,96709,1,64,0.445312,114617,10000
229101,True,1,85913,1,64,0.437500,114550,10000
3645,True,1,1367,1,64,0.593750,1822,10000
99,True,2,7,1,64,0.656250,49,10000
19829,True,1,1859,1,64,0.171875,9914,10000
348583,True,6,124081,1,64,0.265625,174291,10000
2631,True,6,937,1,64,0.109375,1315,10000
4791,True,6,853,1,64,0.654297,2395,10000
16731,True,6,1489,1,64,0.515625,8365,10000
69,True,1,13,1,64,0.703125,34,10000
1463,True,5,695,1,64,0.125000,731,10000
235165,True,1,88187,1,64,0.312012,117582,10000
2699,True,3,1139,1,64,0.531250,1349,10000
742219,True,3,78281,1,64,0.335938,371109,10000
15045,True,1,2821,1,64,0.625000,7522,10000
76953,True,3,32465,1,64,0.093750,38476,10000
425,True,14,61,1,64,0.500000,212,10000
171,True,5,41,1,64,0.250000,85,10000
309,True,1,29,1,64,0.671875,154,10000
160655,True,5,76249,1,64,0.375000,80327,10000
1279,True,14,365,1,64,0.156250,639,10000
387,True,2,109,1,64,0.234375,193,10000
335,True,18,61,1,64,0.437500,167,10000
755,True,3,319,1,64,0.468750,377,10000
171,True,5,41,1,64,0.250000,85,10000
6111,True,18,1103,1,64,0.312500,3055,10000
23317,True,1,1093,1,64,0.625000,11658,10000
57,True,5,7,1,64,0.656250,28,10000
801909,True,1,75179,1,64,0.507812,400954,10000
130761,True,4,20687,1,64,0.390625,65380,10000
113,True,2,1,1,64,0.746094,56,10000
4509,True,1,1691,1,64,0.132812,2254,10000
7,True,5,1,1,64,0.687500,3,10000
352711,True,7,94163,1,64,0.093750,176355,10000
605331,True,4,191531,1,64,0.359375,302665,10000
295395,True,2,10385,1,64,0.398438,147697,10000
5,True,1,1,1,64,0.734375,2,10000
5609,True,23,961,1,64,0.328125,2804,10000
497,True,2,35,1,64,0.687500,248,10000
7,True,5,1,1,64,0.687500,3,10000
654969,True,11,221303,1,64,0.281250,327484,10000
24009,True,4,7597,1,64,0.437500,12004,10000
5,True,1,1,1,64,0.734375,2,10000
14195,True,3,5989,1,64,0.515625,7097,10000
149193,True,4,23603,1,64,0.515625,74596,10000
578267,True,10,260515,1,64,0.195312,289133,10000
11,True,3,5,1,64,0.703125,5,10000
55,True,37,23,1,64,0.250000,27,10000
1327,True,8,133,1,64,0.578125,663,10000
355,True,2,25,1,64,0.640625,177,10000
53,True,1,5,1,64,0.718750,26,10000
799,True,10,361,1,64,0.484375,399,10000
76791,True,6,27335,1,64,0.468750,38395,10000
1725,True,1,647,1,64,0.593750,862,10000
213,True,1,5,1,64,0.726562,106,10000
203,True,3,43,1,64,0.625000,101,10000
685531,True,5,20335,1,64,0.097656,342765,10000
2139,True,13,407,1,64,0.437500,1069,10000
4261,True,1,799,1,64,0.468750,2130,10000
60507,True,20,12281,1,64,0.054688,30253,10000
23,True,3,5,1,64,0.687500,11,10000
28757,True,1,337,1,64,0.246094,14378,10000
707,True,2,199,1,64,0.203125,353,10000
261,True,1,49,1,64,0.656250,130,10000
37,True,1,7,1,64,0.671875,18,10000
45,True,1,17,1,64,0.703125,22,10000
1427,True,4,113,1,64,0.683594,713,10000
123,True,5,59,1,64,0.578125,61,10000
56237,True,1,21089,1,64,0.623047,28118,10000
7271,True,12,1843,1,64,0.078125,3635,10000
535,True,3,113,1,64,0.699219,267,10000
13,True,1,5,1,64,0.718750,6,10000
291,True,2,41,1,64,0.250000,145,10000
23,True,3,5,1,64,0.687500,11,10000
215,True,3,91,1,64,0.296875,107,10000
1195,True,5,71,1,64,0.281250,597,10000
3,True,2,1,1,64,0.718750,1,10000
5,True,1,1,1,64,0.734375,2,10000
19,True,5,5,1,64,0.671875,9,10000
253483,True,4,20051,1,64,0.359375,126741,10000
150293,True,1,7045,1,64,0.328125,75146,10000
325675,True,4,51523,1,64,0.062500,162837,10000
43393,True,3,18307,1,64,0.125000,21696,10000
15541,True,1,1457,1,64,0.625000,7770,10000
15,True,4,5,1,64,0.671875,7,10000
33047,True,3,6971,1,64,0.484375,16523,10000
749,True,1,281,1,64,0.562500,374,10000
263,True,22,61,1,64,0.406250,131,10000
139379,True,3,58801,1,64,0.062500,69689,10000
32361,True,25,6235,1,64,0.148438,16180,10000
429,True,1,161,1,64,0.328125,214,10000
5,True,1,1,1,64,0.734375,2,10000
6207,True,10,2797,1,64,0.343750,3103,10000
23,True,3,5,1,64,0.687500,11,10000
391,True,4,31,1,64,0.234375,195,10000
6691,True,2,941,1,64,0.171875,3345,10000
19549,True,1,7331,1,64,0.578125,9774,10000
87675,True,5,10403,1,64,0.062500,43837,10000
10779,True,7,1439,1,64,0.117188,5389,10000
47,True,34,23,1,64,0.296875,23,10000
71,True,33,23,1,64,0.312500,35,10000
27265,True,3,11503,1,64,0.093750,13632,10000
45,True,1,17,1,64,0.703125,22,10000
21,True,1,1,1,64,0.734375,10,10000
8329,True,11,2815,1,64,0.117188,4164,10000
3,True,2,1,1,64,0.718750,1,10000
7377,True,2,2075,1,64,0.351562,3688,10000
457,True,4,145,1,64,0.218750,228,10000
3673,True,3,775,1,64,0.093750,1836,10000
6647,True,26,961,1,64,0.281250,3323,10000
5,True,1,1,1,64,0.734375,2,10000
1361,True,2,383,1,64,0.531250,680,10000
13,True,1,5,1,64,0.718750,6,10000
